Timestamp, Sequence Number, SubPoint Number, Vertix Number, Comment, X(um), Y(um), Intended X(um), Intended Y(um), Scan Velocity (um/s), Laser State, Laser Rep. Rate (Hz), Spot Type, Spot Size (um), Spot Angle (deg), MFC1 (ml/min), MFC2 (ml/min), Cell Pressure (kPa), Z(um), Laser Mode, Laser HV (kV), Laser Energy (mJ), On-Sample Fluence (J.cm⁻²)
2025-06-16 12:41:45.494,2,1,,Cu,43847,8020,,,,Off,0,Wheel,40.0,0,381,0.09,3.1,1987.0,ATL_EGY,1.000,4.162,6.608
2025-06-16 12:41:46.148,,,1,,43847,8020,,,10000.000,Off,0,Wheel,40.0,0,381,0.10,3.0,1987.0,ATL_EGY,1.000,4.150,6.594
2025-06-16 12:41:46.241,,,,,43847,8020,43847,8020,,Off,0,Wheel,40.0,0,381,0.10,3.0,1987.0,ATL_EGY,1.000,4.150,6.594
2025-06-16 12:41:47.842,,,,,43847,8020,,,,On,10.00,Wheel,40.0,0,380,0.09,2.8,1987.0,ATL_EGY,1.000,4.137,6.580
2025-06-16 12:41:51.029,,,2,,43546,8000,43546,8000,100.000,On,10.00,Wheel,40.0,0,-1000,-1000.00,-1000.0,1987.0,ATL_EGY,1.000,4.162,0
2025-06-16 12:41:51.081,,,,,43546,8000,,,,Off,0,Wheel,40.0,0,380,0.09,2.8,1987.0,ATL_EGY,1.000,4.162,6.608
2025-06-16 12:41:51.885,,,1,,43847,8020,,,10000.000,Off,0,Wheel,40.0,0,380,0.10,2.9,1987.0,ATL_EGY,1.000,4.175,6.622
2025-06-16 12:41:51.941,,,,,43847,8020,43847,8020,,Off,0,Wheel,40.0,0,380,0.10,2.9,1987.0,ATL_EGY,1.000,4.175,6.622
2025-06-16 12:42:35.574,,,,,43847,8020,,,,On,10.00,Wheel,40.0,0,381,0.09,2.9,1987.0,ATL_EGY,1.000,4.200,6.651
2025-06-16 12:43:36.071,,,2,,43546,8000,43546,8000,5.000,On,10.00,Wheel,40.0,0,-1000,-1000.00,-1000.0,1987.0,ATL_EGY,1.000,4.175,0
2025-06-16 12:43:36.123,,,,,43546,8000,,,,Off,0,Wheel,40.0,0,380,0.09,2.9,1987.0,ATL_EGY,1.000,4.175,6.622
2025-06-16 12:43:36.641,3,1,,Ni,43341,8521,,,,Off,0,Wheel,40.0,0,381,0.09,2.9,1987.0,ATL_EGY,1.000,4.175,6.622
2025-06-16 12:43:38.891,,,1,,41111,17125,,,10000.000,Off,0,Wheel,40.0,0,380,0.09,2.7,1987.0,ATL_EGY,1.000,4.175,6.622
2025-06-16 12:43:38.959,,,,,41111,17125,41111,17125,,Off,0,Wheel,40.0,0,380,0.09,2.7,1987.0,ATL_EGY,1.000,4.175,6.622
2025-06-16 12:43:40.589,,,,,41111,17125,,,,On,10.00,Wheel,40.0,0,379,0.09,2.9,1987.0,ATL_EGY,1.000,4.187,6.637
2025-06-16 12:43:43.749,,,2,,41412,17147,41412,17148,100.000,On,10.00,Wheel,40.0,0,-1000,-1000.00,-1000.0,1987.0,ATL_EGY,1.000,4.200,0
2025-06-16 12:43:43.801,,,,,41412,17147,,,,Off,0,Wheel,40.0,0,381,0.08,2.9,1987.0,ATL_EGY,1.000,4.200,6.651
2025-06-16 12:43:44.589,,,1,,41111,17125,,,10000.000,Off,0,Wheel,40.0,0,381,0.08,2.9,1987.0,ATL_EGY,1.000,4.200,6.651
2025-06-16 12:43:44.645,,,,,41111,17125,41111,17125,,Off,0,Wheel,40.0,0,381,0.08,2.9,1987.0,ATL_EGY,1.000,4.200,6.651
2025-06-16 12:44:28.334,,,,,41111,17125,,,,On,10.00,Wheel,40.0,0,379,0.09,3.0,1987.0,ATL_EGY,1.000,4.200,6.651
2025-06-16 12:45:28.748,,,2,,41412,17147,41412,17148,5.000,On,10.00,Wheel,40.0,0,-1000,-1000.00,-1000.0,1987.0,ATL_EGY,1.000,4.200,0
2025-06-16 12:45:28.792,,,,,41412,17147,,,,Off,0,Wheel,40.0,0,381,0.08,2.9,1987.0,ATL_EGY,1.000,4.200,6.651
2025-06-16 12:45:29.694,4,1,,Ni,41037,17505,,,,Off,0,Wheel,40.0,0,380,0.09,2.9,1987.0,ATL_EGY,1.000,4.200,6.651
2025-06-16 12:45:30.342,,,1,,41037,17505,,,10000.000,Off,0,Wheel,40.0,0,380,0.10,2.9,1987.0,ATL_EGY,1.000,4.200,6.651
2025-06-16 12:45:30.436,,,,,41037,17505,41037,17505,,Off,0,Wheel,40.0,0,380,0.10,3.0,1987.0,ATL_EGY,1.000,4.200,6.651
