Timestamp, Sequence Number, SubPoint Number, Vertix Number, Comment, X(um), Y(um), Intended X(um), Intended Y(um), Scan Velocity (um/s), Laser State, Laser Rep. Rate (Hz), Spot Type, Spot Size (um), Spot Angle (deg), MFC1 (ml/min), MFC2 (ml/min), Cell Pressure (kPa), Z(um), Laser Mode, Laser HV (kV), Laser Energy (mJ), On-Sample Fluence (J.cm⁻²)
2025-03-06 14:17:12.287,1,1,,Sca_17_50 µm - 1,114770,92891,,,,Off,0,Wheel,50.0,0,402,3.02,1.9,2025.5,ATL_EGY,1.164,7.300,2.961
2025-03-06 14:17:12.379,,,,,114770,92891,,,10000.000,Off,0,Wheel,50.0,0,402,3.02,1.9,2025.5,ATL_EGY,1.165,7.300,2.961
2025-03-06 14:17:12.528,,,,,114770,92891,114770,92891,,Off,0,Wheel,50.0,0,402,3.03,1.9,2025.5,ATL_EGY,1.165,7.300,2.961
2025-03-06 14:18:15.899,,,,,114770,92891,,,,On,5.00,Wheel,50.0,0,402,3.02,1.7,2025.5,ATL_EGY,1.160,7.700,3.103
2025-03-06 14:18:45.904,,,,,114770,92891,,,,Off,0,Wheel,50.0,0,402,3.03,2.0,2025.5,ATL_EGY,1.150,7.325,2.970
2025-03-06 14:18:56.836,2,1,,Sca_17_50 µm - 2,114770,92891,,,,Off,0,Wheel,50.0,0,402,3.02,1.8,2025.5,ATL_EGY,1.150,7.300,2.961
2025-03-06 14:18:56.894,,,,,114770,92891,,,10000.000,Off,0,Wheel,50.0,0,401,3.03,1.8,2025.5,ATL_EGY,1.150,7.300,2.961
2025-03-06 14:18:57.061,,,,,114724,92950,114724,92950,,Off,0,Wheel,50.0,0,401,3.03,1.9,2025.5,ATL_EGY,1.150,7.300,2.961
2025-03-06 14:20:00.384,,,,,114724,92950,,,,On,5.00,Wheel,50.0,0,402,3.04,1.9,2025.5,ATL_EGY,1.150,7.500,3.032
2025-03-06 14:20:30.396,,,,,114724,92950,,,,Off,0,Wheel,50.0,0,403,3.03,1.8,2025.5,ATL_EGY,1.150,7.413,3.001
2025-03-06 14:20:41.337,3,1,,Sca_17_50 µm - 3,114724,92950,,,,Off,0,Wheel,50.0,0,402,3.03,1.9,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:20:41.398,,,,,114724,92950,,,10000.000,Off,0,Wheel,50.0,0,402,3.03,1.9,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:20:41.555,,,,,114660,93000,114660,93000,,Off,0,Wheel,50.0,0,403,3.03,1.9,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:21:44.894,,,,,114660,93000,,,,On,5.00,Wheel,50.0,0,402,3.04,1.7,2025.5,ATL_EGY,1.150,7.600,3.068
2025-03-06 14:22:14.908,,,,,114660,93000,,,,Off,0,Wheel,50.0,0,403,3.03,1.7,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:22:25.780,4,1,,GSD_1G_50 µm - 1,114660,93000,,,,Off,0,Wheel,50.0,0,403,3.05,1.8,2025.5,ATL_EGY,1.150,7.500,3.032
2025-03-06 14:22:25.839,,,,,114660,93000,,,10000.000,Off,0,Wheel,50.0,0,403,3.04,1.8,2025.5,ATL_EGY,1.150,7.500,3.032
2025-03-06 14:22:35.324,,,,,22142,88176,22142,88176,,Off,0,Wheel,50.0,0,403,3.02,1.6,2025.5,ATL_EGY,1.150,7.500,3.032
2025-03-06 14:23:38.654,,,,,22142,88176,,,,On,5.00,Wheel,50.0,0,402,3.04,1.7,2025.5,ATL_EGY,1.150,7.600,3.068
2025-03-06 14:24:08.658,,,,,22142,88176,,,,Off,0,Wheel,50.0,0,402,3.03,1.8,2025.5,ATL_EGY,1.150,7.363,2.983
2025-03-06 14:24:19.554,5,1,,GSD_1G_50 µm - 2,22142,88176,,,,Off,0,Wheel,50.0,0,401,3.04,1.9,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:24:19.640,,,,,22142,88176,,,10000.000,Off,0,Wheel,50.0,0,402,3.04,2.0,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:24:19.785,,,,,22213,88153,22213,88153,,Off,0,Wheel,50.0,0,402,3.03,2.0,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:25:23.164,,,,,22213,88153,,,,On,5.00,Wheel,50.0,0,402,3.03,1.7,2025.5,ATL_EGY,1.150,7.600,3.068
2025-03-06 14:25:53.168,,,,,22213,88153,,,,Off,0,Wheel,50.0,0,402,3.02,1.8,2025.5,ATL_EGY,1.150,7.325,2.970
2025-03-06 14:26:04.058,6,1,,GSD_1G_50 µm - 3,22213,88153,,,,Off,0,Wheel,50.0,0,401,3.03,1.8,2025.5,ATL_EGY,1.150,7.300,2.961
2025-03-06 14:26:04.124,,,,,22213,88153,,,10000.000,Off,0,Wheel,50.0,0,401,3.03,1.8,2025.5,ATL_EGY,1.150,7.300,2.961
2025-03-06 14:26:04.295,,,,,22285,88130,22285,88130,,Off,0,Wheel,50.0,0,401,3.03,1.7,2025.5,ATL_EGY,1.150,7.300,2.961
2025-03-06 14:27:07.658,,,,,22285,88130,,,,On,5.00,Wheel,50.0,0,403,3.04,1.7,2025.5,ATL_EGY,1.150,7.500,3.032
2025-03-06 14:27:37.670,,,,,22285,88130,,,,Off,0,Wheel,50.0,0,401,3.03,1.9,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:27:48.616,7,1,,NIST612_50 µm - 1,22285,88130,,,,Off,0,Wheel,50.0,0,403,3.03,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:27:48.700,,,,,22285,88130,,,10000.000,Off,0,Wheel,50.0,0,403,3.02,1.7,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:27:49.603,,,,,18364,81851,18364,81851,,Off,0,Wheel,50.0,0,402,3.03,1.7,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:28:52.916,,,,,18364,81851,,,,On,5.00,Wheel,50.0,0,403,3.03,1.7,2025.5,ATL_EGY,1.150,7.600,3.068
2025-03-06 14:29:22.926,,,,,18364,81851,,,,Off,0,Wheel,50.0,0,401,3.03,1.7,2025.5,ATL_EGY,1.150,7.375,2.988
2025-03-06 14:29:33.891,8,1,,W2_Ol_50 µm - 1,18364,81851,,,,Off,0,Wheel,50.0,0,402,3.03,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:29:33.954,,,,,18364,81851,,,10000.000,Off,0,Wheel,50.0,0,402,3.04,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:29:40.653,,,,,83752,84458,83752,84458,,Off,0,Wheel,50.0,0,402,3.03,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:30:44.062,,,,,83752,84458,,,,On,5.00,Wheel,50.0,0,402,3.03,1.6,2025.5,ATL_EGY,1.150,7.600,3.068
2025-03-06 14:31:14.076,,,,,83752,84458,,,,Off,0,Wheel,50.0,0,403,3.03,1.6,2025.5,ATL_EGY,1.150,7.375,2.988
2025-03-06 14:31:24.876,9,1,,NIST610_50 µm - 1,83752,84458,,,,Off,0,Wheel,50.0,0,402,3.02,1.8,2025.5,ATL_EGY,1.150,7.300,2.961
2025-03-06 14:31:24.926,,,,,83752,84458,,,10000.000,Off,0,Wheel,50.0,0,402,3.03,1.7,2025.5,ATL_EGY,1.150,7.300,2.961
2025-03-06 14:31:31.193,,,,,144321,81708,144321,81708,,Off,0,Wheel,50.0,0,402,3.03,1.9,2025.5,ATL_EGY,1.150,7.300,2.961
2025-03-06 14:32:34.548,,,,,144321,81708,,,,On,5.00,Wheel,50.0,0,403,3.04,1.8,2025.5,ATL_EGY,1.150,7.500,3.032
2025-03-06 14:33:04.554,,,,,144321,81708,,,,Off,0,Wheel,50.0,0,402,3.03,1.7,2025.5,ATL_EGY,1.150,7.338,2.974
2025-03-06 14:33:15.392,10,1,,22-amp_50 µm - 1,144321,81708,,,,Off,0,Wheel,50.0,0,402,3.04,1.7,2025.5,ATL_EGY,1.150,7.300,2.961
2025-03-06 14:33:15.456,,,,,144321,81708,,,10000.000,Off,0,Wheel,50.0,0,402,3.03,1.7,2025.5,ATL_EGY,1.150,7.300,2.961
2025-03-06 14:33:27.734,,,,,24714,60795,24714,60795,,Off,0,Wheel,50.0,0,402,3.02,1.7,2025.5,ATL_EGY,1.150,7.300,2.961
2025-03-06 14:34:31.108,,,,,24714,60795,,,,On,5.00,Wheel,50.0,0,402,3.03,1.9,2025.5,ATL_EGY,1.150,7.500,3.032
2025-03-06 14:35:01.120,,,,,24714,60795,,,,Off,0,Wheel,50.0,0,402,3.03,1.9,2025.5,ATL_EGY,1.150,7.500,3.032
2025-03-06 14:35:11.942,11,1,,22-amp_50 µm - 2,24714,60795,,,,Off,0,Wheel,50.0,0,402,3.03,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:35:12.026,,,,,24714,60795,,,10000.000,Off,0,Wheel,50.0,0,402,3.03,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:35:12.241,,,,,24479,61322,24479,61322,,Off,0,Wheel,50.0,0,403,3.03,1.7,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:36:15.610,,,,,24479,61322,,,,On,5.00,Wheel,50.0,0,402,3.03,1.9,2025.5,ATL_EGY,1.150,7.600,3.068
2025-03-06 14:36:45.614,,,,,24479,61322,,,,Off,0,Wheel,50.0,0,402,3.03,1.8,2025.5,ATL_EGY,1.150,7.375,2.988
2025-03-06 14:36:56.395,12,1,,22-amp_50 µm - 3,24479,61322,,,,Off,0,Wheel,50.0,0,402,3.03,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:36:56.487,,,,,24479,61322,,,10000.000,Off,0,Wheel,50.0,0,402,3.03,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:36:56.781,,,,,23624,60040,23624,60040,,Off,0,Wheel,50.0,0,402,3.03,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:38:00.090,,,,,23624,60040,,,,On,5.00,Wheel,50.0,0,402,3.03,2.0,2025.5,ATL_EGY,1.150,7.600,3.068
2025-03-06 14:38:30.094,,,,,23624,60040,,,,Off,0,Wheel,50.0,0,402,3.03,1.7,2025.5,ATL_EGY,1.150,7.388,2.992
2025-03-06 14:38:40.943,13,1,,22-amp_50 µm - 4,23624,60040,,,,Off,0,Wheel,50.0,0,402,3.03,1.9,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:38:41.002,,,,,23624,60040,,,10000.000,Off,0,Wheel,50.0,0,402,3.03,1.9,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:38:41.529,,,,,26758,58635,26758,58635,,Off,0,Wheel,50.0,0,402,3.03,1.9,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:39:44.882,,,,,26758,58635,,,,On,5.00,Wheel,50.0,0,401,3.02,1.7,2025.5,ATL_EGY,1.150,7.500,3.032
2025-03-06 14:40:14.888,,,,,26758,58635,,,,Off,0,Wheel,50.0,0,402,3.02,1.7,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:40:25.510,14,1,,22-amp_50 µm - 5,26758,58635,,,,Off,0,Wheel,50.0,0,402,3.04,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:40:25.560,,,,,26758,58635,,,10000.000,Off,0,Wheel,50.0,0,402,3.04,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:40:25.771,,,,,27009,58631,27009,58631,,Off,0,Wheel,50.0,0,401,3.04,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:41:29.096,,,,,27009,58631,,,,On,5.00,Wheel,50.0,0,402,3.03,1.8,2025.5,ATL_EGY,1.150,7.600,3.068
2025-03-06 14:41:59.100,,,,,27009,58631,,,,Off,0,Wheel,50.0,0,401,3.03,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:42:10.040,15,1,,22-amp_50 µm - 6,27009,58631,,,,Off,0,Wheel,50.0,0,402,3.04,1.9,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:42:10.136,,,,,27009,58631,,,10000.000,Off,0,Wheel,50.0,0,402,3.04,1.9,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:42:10.535,,,,,26252,56180,26252,56180,,Off,0,Wheel,50.0,0,402,3.04,1.9,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:43:13.884,,,,,26252,56180,,,,On,5.00,Wheel,50.0,0,402,3.03,1.8,2025.5,ATL_EGY,1.150,7.600,3.068
2025-03-06 14:43:43.888,,,,,26252,56180,,,,Off,0,Wheel,50.0,0,401,3.03,1.8,2025.5,ATL_EGY,1.150,7.350,2.979
2025-03-06 14:43:54.623,16,1,,22-amp_50 µm - 7,26252,56180,,,,Off,0,Wheel,50.0,0,401,3.04,1.7,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:43:54.710,,,,,26252,56180,,,10000.000,Off,0,Wheel,50.0,0,401,3.03,1.7,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:43:55.007,,,,,24709,56027,24709,56027,,Off,0,Wheel,50.0,0,401,3.03,1.8,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:44:58.318,,,,,24709,56027,,,,On,5.00,Wheel,50.0,0,402,3.04,1.8,2025.5,ATL_EGY,1.150,7.600,3.068
2025-03-06 14:45:28.322,,,,,24709,56027,,,,Off,0,Wheel,50.0,0,401,3.02,1.7,2025.5,ATL_EGY,1.150,7.400,2.997
2025-03-06 14:45:39.190,17,1,,22-amp_50 µm - 8,24709,56027,,,,Off,0,Wheel,50.0,0,402,3.03,2.0,2025.5,ATL_EGY,1.150,7.400,2.997
