C:\Agilent\ICPMH\1\DATA\181022\181022a_grt_nogas.b\002.d
Intensity Vs Time,CPS
Acquired      : 10/22/2018 12:43:29 PM using Batch 181022a_grt_nogas.b
Time [Sec],Li7,Mg24,Al27,Si29,Ca43,Sc45,Ti49,V51,Cr53,Mn55,Fe57,Co59,Ni60,Zn66,Ga71,Y89,Zr90,Nb93,In115,Sn118,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Pb208,Th232,U238
0.4147,800.02,600.01,19509.99,1287690.99,5400.78,2000.11,0.00,200.00,16006.88,303458.37,1500.06,0.00,800.02,0.00,1000.03,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.8197,2000.10,2600.18,14005.15,1300501.46,3800.39,2400.15,0.00,1200.04,12404.13,308032.71,2500.17,0.00,400.00,200.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.2247,1400.05,2000.10,17508.05,1336128.58,5200.72,2000.11,0.00,1200.04,16006.88,282633.73,5500.82,0.00,1400.05,400.00,400.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.6297,3000.23,2400.15,18508.99,1323588.98,3800.39,1200.04,400.00,400.00,17808.52,284664.34,3000.24,600.01,1400.05,600.01,200.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.0337,1800.08,1000.03,14005.15,1291068.87,3800.39,2400.15,0.00,0.00,14605.73,313625.12,2500.17,600.01,600.01,400.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.4387,2000.10,1000.03,11503.48,1306508.36,4800.61,2200.13,400.00,1600.07,19009.70,317184.81,1500.06,1200.04,600.01,400.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.8436,3000.23,2800.21,15506.31,1330854.62,3600.35,3400.31,200.00,600.01,21812.78,300409.39,3500.33,400.00,800.02,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.2486,2400.15,2800.21,13004.44,1309949.97,4800.61,2400.15,0.00,1200.04,14605.73,321762.48,2500.17,0.00,1600.07,400.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.6536,3800.37,2000.10,14005.15,1272793.24,4000.43,1400.05,0.00,800.02,18809.50,298377.04,2000.11,200.00,800.02,0.00,400.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.0586,2000.10,1800.08,14005.15,1304628.21,5200.72,1800.09,0.00,800.02,15206.21,286187.50,1000.03,600.01,1200.04,0.00,600.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.4626,800.02,2000.10,11503.48,1321852.24,6000.96,1600.07,0.00,800.02,16006.88,327359.04,2500.17,400.00,400.00,400.00,200.00,600.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.8676,1600.07,600.01,13504.79,1329038.21,6601.16,2200.13,0.00,1400.05,17207.95,295836.88,2500.17,0.00,1000.03,0.00,1400.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.2726,1800.08,1000.03,13004.44,1324513.12,8601.97,2800.21,0.00,800.02,16607.41,282633.73,1000.03,200.00,400.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.6776,2600.17,200.00,13004.44,1353766.87,4600.56,1000.03,200.00,0.00,19009.70,288726.35,3500.33,200.00,600.01,200.00,1000.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.0826,2200.13,1400.05,16006.73,1298302.65,8401.88,1200.04,0.00,2000.11,10002.69,286695.22,1000.03,0.00,800.02,400.00,0.00,400.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.4865,1800.08,2600.18,20511.05,1319095.76,4200.47,2200.13,0.00,0.00,12604.27,321253.85,5500.82,200.00,2400.16,200.00,1400.05,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
6.8915,1400.05,2200.13,10502.90,1319940.23,4800.61,1000.03,0.00,1000.03,13204.68,273498.54,1500.06,600.01,1000.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.2965,2000.10,1000.03,15506.31,1330520.02,6000.96,3000.24,0.00,1400.05,14805.89,277558.07,2000.11,0.00,400.00,400.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
