20230327-S1:07/17/2025 03:48:48 PM;
Software:Name=Qtegra;Version=2.14.5122.306;File Version=1;
Configuration:Machine=iCAP RQ;
STDR:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-38;Angular Deflection=-300;Deflection Entry Lens=-35;Extraction Lens 1 Polarity=0;Extraction Lens 1 Negative=0;Extraction Lens 1 Positive=0;Spray Chamber Temperature=2.7;Peristaltic Pump Speed=40;Cool Flow=14;Sampling Depth=5;Plasma Power=1550;Auxilliary Flow=0.8;Nebulizer Flow=0.577142857142856;Torch Horizontal Position=-0.266666666666667;Torch Vertical Position=1.09333333333333;Extraction Lens 2=-78.3333333333333;CCT Focus Lens=-1.56;Dry Pump Speed=100;CCT Bias=-2.00854700854701;CCT Exit Lens=-160.01221001221;Focus Lens=17.3931623931624;D1 Lens=-188.034188034188;D2 Lens=-80;Quad Entry Lens=-25.2014652014652;Pole Bias=-1.00019836728466;CCT1 Flow=0;CCT1 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-190.000715256419;Virtual CCT Mass parameter b=0.650000238418806;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.0752688172043;Torch Horizontal Position Readback=-0.332551319648094;Torch Vertical Position Readback=1.08211143695015;Sampling Depth Readback=5;Extraction Lens 1 Negative Readback=-205.278592375367;Extraction Lens 1 Positive Readback=0.131964809384164;Extraction Lens 2 Readback=-80.1564027370479;Angular Deflection Readback=-300.146627565982;Quad Entry Lens Readback=-25.8064516129032;Focus Lens Readback=17.3460410557185;D2 Lens Readback=-79.960899315738;Deflection Exit Lens Readback=34.4525904203324;Deflection Entry Lens Readback=-35.347018572825;D1 Lens Readback=-189.247311827957;CCT Exit Lens Readback=-160.557184750733;CCT Bias Readback=-2.56598240469208;CCT Entry Lens Readback=-38.6119257086999;CCT Focus Lens Readback=-1.40273704789833;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.21591091729957;Analyzer Pressure Readback=3.76917528138916E-07;
Detector:Detector Voltage (Counting) Readback=946.236559139785;Detector Voltage (Analog) Readback=-1693.0596285435;
Cooling System:Plasma Cooling Water Flow Readback=0.591372549019608;Interface Temperature Readback=31.0815701565885;Exhaust Flow Readback=0.621173998044966;Quad Board Temperature Readback=0;Inlet Fan Speed Readback=0;Outlet Fan Speed Readback=2470.58823529412;Peltier Temperature Hot Side Readback=23.5860156526518;Spray Chamber Temperature Readback=1.41098388178828;
Power Supply:Supply Voltage 500 V Readback=-536.412512218964;Supply Voltage 1 kV Readback=-1163.24535679374;
Gas Supply:Nebulizer Supply Pressure Readback=0.208090860215054;Nebulizer Flow Readback=0.571847507331378;Cool Flow Readback=13.86119257087;Auxilliary Flow Readback=0.797653958944281;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,7Li,11B,23Na,24Mg,27Al,28Si,31P,35Cl,39K,44Ca,49Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,75As,107Ag,118Sn,121Sb,137Ba,139La,140Ce,141Pr,143Nd,147Sm,151Eu,157Gd,159Tb,163Dy,165Ho,167Er,169Tm,171Yb,175Lu,178Hf,181Ta,207Pb,209Bi,232Th,238U,
,dwell time=0.03;xcal factor=73312.10865,dwell time=0.03;xcal factor=75018.26876,dwell time=0.01;xcal factor=80136.7491,dwell time=0.01;xcal factor=80563.28912,dwell time=0.01;xcal factor=81842.90921,dwell time=0.0001;xcal factor=79194.47649,dwell time=0.01;xcal factor=77409.40446,dwell time=0.01;xcal factor=79136.12583,dwell time=0.01;xcal factor=80862.84721,dwell time=0.01;xcal factor=83021.24893,dwell time=0.01;xcal factor=84482.58645,dwell time=0.01;xcal factor=84881.61368,dwell time=0.01;xcal factor=85081.12729,dwell time=0.01;xcal factor=85679.66813,dwell time=0.01;xcal factor=85774.59228,dwell time=0.01;xcal factor=85869.51643,dwell time=0.01;xcal factor=85893.54382,dwell time=0.01;xcal factor=85965.62601,dwell time=0.01;xcal factor=86566.6987,dwell time=0.01;xcal factor=87139.0755,dwell time=0.01;xcal factor=87724.36904,dwell time=0.01;xcal factor=87842.53053,dwell time=0.01;xcal factor=87814.36864,dwell time=0.01;xcal factor=87940.42295,dwell time=0.05;xcal factor=88059.77389,dwell time=0.05;xcal factor=88119.44936,dwell time=0.05;xcal factor=88082.29883,dwell time=0.05;xcal factor=88007.99776,dwell time=0.05;xcal factor=87859.39564,dwell time=0.05;xcal factor=87710.79352,dwell time=0.05;xcal factor=87487.89033,dwell time=0.05;xcal factor=87413.58927,dwell time=0.05;xcal factor=87264.98715,dwell time=0.05;xcal factor=87190.68608,dwell time=0.05;xcal factor=87135.91067,dwell time=0.05;xcal factor=87081.13525,dwell time=0.05;xcal factor=87026.35984,dwell time=0.05;xcal factor=86916.809,dwell time=0.05;xcal factor=86834.64588,dwell time=0.01;xcal factor=86752.48275,dwell time=0.001;xcal factor=86224.29967,dwell time=0.01;xcal factor=86353.42158,dwell time=0.01;xcal factor=87838.32355,dwell time=0.01;xcal factor=88225.68928,
0.03322,0,566.679511402259,2000.16001280102,500.010000200004,9503.61137232148,5981128.51909431,24123.2548176442,1800.12960933187,10304.2453490838,103022.805594158,100.0004000016,300.003600043201,36854.249455198,10304.2453490838,100.0004000016,0,1800.12960933187,100.0004000016,100.0004000016,300.003600043201,0,0,0,0,0,0,0,0,0,0,0,0,20.0000160000128,0,0,0,0,0,0,0,0,100.0004000016,0,0,
1.15628,0,500.010000200004,2100.17641481884,100.0004000016,7502.25067520256,5189183.75422165,19715.5358422437,1600.10240655402,9203.38684635946,99091.2121053921,0,0,38559.381447429,10404.3282005314,200.0016000128,0,2400.23042212052,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0000160000128,0,0,0,0,0,0,
2.2793,66.6668444449185,433.340844574639,2000.16001280102,400.006400102402,8803.09869073914,5109989.27773438,22019.3770518056,2700.2916314962,10904.7544729502,101510.508496359,0,0,38258.4589252378,12205.9565067753,200.0016000128,0,1800.12960933187,0,0,300.003600043201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0004000016,0,0,
3.40227,33.333377777837,666.684444918531,2900.33643902693,300.003600043201,7902.49718911176,4001266.60691266,22620.4488857928,2900.33643902693,11805.5722300926,98284.883604194,0,200.0016000128,40064.1025641026,12806.5569571621,500.010000200004,0,2600.27042812453,100.0004000016,0,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.52533,100.0004000016,566.679511402259,1400.07840439065,400.006400102402,7102.01697282028,4714016.89529805,21518.505915087,1600.10240655402,10604.4963064339,95966.977722812,0,100.0004000016,42171.0159909287,12205.9565067753,0,0,1900.14441097523,100.0004000016,100.0004000016,400.006400102402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0004000016,0,0,
5.64822,133.334044448237,433.340844574639,2500.2500250025,300.003600043201,8803.09869073914,6060322.99558158,22920.9956319989,2300.21161946899,11605.3848985929,100603.217696528,0,200.0016000128,39261.5621294189,11305.1099096792,100.0004000016,0,1700.11560786133,100.0004000016,0,200.0016000128,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6.77147,66.6668444449185,366.67204452332,2400.23042212052,400.006400102402,6901.90492575951,5981128.51909431,21117.8234429859,2700.2916314962,9803.84310649775,96370.061034372,100.0004000016,0,45181.5074394207,11305.1099096792,400.006400102402,0,2100.17641481884,0,100.0004000016,300.003600043201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,0,0,
7.89453,33.333377777837,700.019600548815,2200.1936170383,300.003600043201,7602.31110257518,4951600.32475985,23421.922919853,1800.12960933187,9403.53572943427,91231.7185285699,0,100.0004000016,39060.9350586916,9903.92195309342,100.0004000016,0,1300.06760351538,100.0004000016,100.0004000016,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.006400102402,0,0,
9.01746,0,733.354845075456,2000.16001280102,0,8703.02865397158,6139517.47206885,25025.025025025,3000.36004320518,10404.3282005314,92440.5509898466,100.0004000016,200.0016000128,41870.0066511207,13106.8679988314,200.0016000128,0,1500.09000540032,200.0016000128,100.0004000016,300.003600043201,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
