Ag,0.5,0.4
Al ,70913,2117
B,6,1
Ba,683,7
Be,2.3,0.4
Bi,0.05,0.01
Ca,50458,786
Cd,0.2,
Ce,53.3,0.5
Cl,67,
Co,38,2
Cr,17,2
Cs,1.16,0.07
Cu,21,5
Dy,6.44,0.06
Er,3.7,0.04
Eu,1.97,0.02
Fe ,96385,2332
Ga,23,1
Gd,6.71,0.07
Ge,1.5,0.1
Hf,4.84,0.28
Ho,1.27,0.08
In,0.11,0.02
K,14445,332
La,24.7,0.3
Li,9,1
Lu,0.503,0.005
Mg ,21474,543
Mn,1472,70
Mo,270,30
Na ,23962,519
Nb,12.5,1
Nd,28.9,0.3
Ni,13,2
P ,1615,44
Pb,11,1
Pr,6.7,0.4
Pt,0.78,0.6
Rb,47,0.5
Re,0.0062,0.0007
Sb,0.35,0.08
Sc,33,2
Si,254320,1870
Sm,6.59,0.07
Sn,2.6,0.4
Sr,342,4
Ta,0.78,0.06
Tb,1.02,0.08
Th,5.9,0.3
Ti,13609,240
Tl,0.3,0.1
Tm,0.51,0.04
U,1.69,0.12
V,425,18
W,0.5,0.07
Y,35,3
Yb,3.39,0.03
Zn,125,5
Zr,184,15
