Si,188777,795,,,,
Ti,206,16,,,,
Al,7060,101,,,,
Fe,66770,389,,,,
Mn,913,11,,,,
Mg,230724,965,,,,
Ca,8669,71,,,,
Na,772,74,,,,
K,100,25,,,,
P,33,10,,,,
Li,1.8,0.5,,,,
Sc,9,0.4,,,,
V,41,4,,,,
Cr,2710,110,,,,
Co,106.7,2.5,,,,
Ni,2104,26,,,,
Cu,19.1,1.2,,,,
Zn,44.5,1.8,,,,
Ga,1.38,0.09,,,,
As,3.6,0.7,,,,
Rb,0.27,0.04,,,,
Sr,8.5,0.4,,,,
Y,0.97,0.08,,,,
Nb,0.062,0.022,,,,
Sb,0.134,0.019,,,,
Cs,0.099,0.003,,,,
Ba,4.98,0.29,,,,
La,0.134,0.009,,,,
Ce,0.2,0.02,,,,
Pr,0.0351,0.0019,,,,
Nd,0.177,0.007,,,,
Sm,0.0677,0.0026,,,,
Eu,0.0262,0.001,,,,
Gd,0.11,0.006,,,,
Tb,0.0212,0.0007,,,,
Dy,0.153,0.007,,,,
Ho,0.0357,0.0015,,,,
Er,0.1082,0.0022,,,,
Tm,0.017,0.0007,,,,
Yb,0.118,0.005,,,,
Lu,0.0191,0.0013,,,,
Hf,0.044,0.013,,,,
Pb,0.42,0.07,,,,
Th,0.018,0.004,,,,
U,0.014,0.004,,,,
