Ag ,0.02
Al ,94215.4
As ,2.73
Au ,0.048
B ,11.8
Ba ,298
Be ,1.2
Bi ,0.11
Br ,0.8
Ca ,37736.16
Cd ,0.1
Ce ,26.1
Cl ,231
Co ,13.2
Cr ,16.9
Cs ,1.75
Cu ,41.5
Dy ,2.22
Er ,1.18
Eu ,0.953
F ,320
Fe ,33968.01
Ga ,20.9
Gd ,2.59
Ge ,1.1
Hf ,3.07
Hg ,0.2
Ho ,0.42
In ,0.5
Ir ,0.02
K ,10709.58
La ,12
Li ,20.7
Lu ,0.168
Mg ,11879.1
Mn ,588.62
Mo ,2
Na ,32940.36
Nb ,6.94
Nd ,13
Ni ,23.7
Os ,1
P ,715.696
Pb ,10.3
Pd ,6
Pr ,3.2
Pt ,1
Rb ,30.7
Re ,0.0009
S ,2.7
Sb ,0.2
Sc ,11.5
Se ,0.04
Si ,297733.8
Sm ,2.78
Sn ,1.1
Sr ,482
Ta ,0.42
Tb ,0.371
Th ,2.28
Ti ,4214.485
Tl ,0.11
Tm ,0.172
U ,1.01
V ,90.3
W ,0.47
Y ,11.4
Yb ,1.13
Zn ,67
Zr ,118
