Ag ,0.5
Al ,70913
Ba ,683
Be ,2.3
Bi ,0.05
Br,90
Ca,50429
Cd ,0.2
Ce ,53.3
Cl,67
Co ,38
Cr ,17
Cs ,1.16
Cu ,21
Dy ,6.44
Er ,3.7
Eu ,1.97
Fe ,96385
Ga ,23
Gd ,6.71
Ge ,1.5
Hf ,4.84
Ho ,1.27
In ,0.11
K ,14900
La ,24.7
Li ,9
Lu ,0.503
Mg ,21467
Mn ,1550
Mo ,270
Na ,23962
Nb ,12.5
Nd ,28.9
Ni ,13
P ,1615
Pb ,11
Pr ,6.7
Pt ,0.78
Rb ,47
Re ,0.0062
Sb ,0.35
Sc ,33
Si,254270
Sm ,6.59
Sn ,2.6
Sr ,342
Ta ,0.78
Tb ,1.02
Th ,5.9
Ti ,14100
Tl ,0.3
Tm ,0.51
U ,1.69
V ,425
W ,0.5
Y ,35
Yb ,3.39
Zn ,125
Zr ,184
