Si,261052,4441
Ti,6894,480
Al,70172,2858
Fe,92111,25107
Mg  ,21172,1086
Ca,45884,1215
Na,28933,1855
K,21750,1245
P,1353,393
Ag,22.96,3.52
As,29.02,7.01
B,40.45,7.68
Ba,44.6,5.32
Be,45.24,5.69
Cd,2.28,0.75
Ce,42.47,4.15
Co,38.79,10.69
Cr,44.3,5.25
Cs,32.04,3.38
Cu,36.96,5.21
Dy,43.18,4.03
Er,41.99,4.03
Eu,41.8,3.8
Ga,51.32,5.09
Gd,42.23,3.75
Ge,35.27,7.09
Hf,40.32,3.52
Ho,43.2,3.94
In,26.96,4.43
La,39.56,3.69
Li,42.57,5.1
Lu,46.4,3.98
Mo,39.93,3.99
Mn,641,64
Nb,45.67,4.85
Nd,44.27,3.65
Ni,45.99,5.48
Pb,30.67,3.11
Pr,42.32,3.97
Rb,38.34,4.81
Sb,39.36,5.36
Sc,41.93,5.31
Sm,43.3,3.82
Sn,28.06,4.5
Sr,66.27,6.3
Ta,43.17,6.48
Tb,42.54,3.86
Th,43.36,3.92
Tm,42.68,4.49
U,42.1,3.84
V,44.37,8.05
W,43.59,4.41
Y,42.91,5.33
Yb,46.37,4.18
Zn,48.44,7.9
Zr,45.31,8.09
