Al,424,10
Ba,13.94,0.3192
Be,0.6205,0.04398
Ce,13.93,0.3447
Co,0.07714,0.005089
Cs,0.01815,0.000975
Cu,10.77,0.3168
Dy,90.89,2.613
Er,118.1,3.314
Eu,5.59,0.1689
Ga,0.63,0.0209
Gd,31.71,0.952
Ge,0.7944,0.05002
Hf,4413,122.2
Ho,28.06,0.7614
La,2.259,0.0533
Li,2.348,0.08383
Lu,34.79,0.8824
Mn,39.28,1.019
Nb,30.43,1.037
Nd,8.809,0.2972
Pr,1.021,0.03653
Rb,0.6528,0.02769
Sb,0.1225,0.00528
Sm,9.009,0.277
Sr,3.486,0.184
Ta,6.35,0.066
Tb,8.72,0.2508
Th,334.2,7.539
Tm,22.9,0.8496
U,386.5,7.073
V,0.3577,0.01107
W,0.1907,0.009293
Y,705.8,17.33
Yb,196.1,7.151
