Ag,22
Al,11167
As,35.7
Au,4.77
B,34.3
Ba,37.9
Be,37.5
Bi,30.2
Ca,85264
Cd,28.1
Ce,38.4
Cl,142
Co,35.5
Cr,36.4
Cs,41.5
Cu,37.8
Dy,35.5
Er,38
Eu,35.6
Fe,51
Ga,36.9
Gd,37.3
Ge,36.1
Hf,37.9
Ho,38.3
In,38.9
Ir,0.0045
K,62.3
La,36
Li,40.2
Lu,37
Mg,68
Mn,38.7
Mo,36.4
Na,103860
Nb,39.8
Nd,35.5
Ni,38.8
P,46.6
Pb,38.57
Pd,1.05
Pr,37.9
Pt,2.51
Rb,31.8
Re,6.63
Rh,0.91
S,377
Sb,34.7
Sc,39.9
Se,16.3
Si,336090
Sm,37.7
Sn,38.6
Sr,78.4
Ta,37.6
Tb,37.6
Th,37.79
Ti,44
Tl,14.9
Tm,36.8
U,37.38
V,38.8
W,38
Y,38.3
Yb,39.2
Zn,39.1
Zr,37.9
