Ag,22,0.3
Al,10743.58296,211.6962159
As,35.7,5.5
Au,4.77,0.31
B,34.3,1.7
Ba,39.3,0.9
Be,37.5,1.5
Bi,30.2,2.3
Ca,85048.5992,714.6941109
Cd,28.1,1.1
Ce,38.4,0.7
Cl,142,58
Co,35.5,1
Cr,36.4,1.5
Cs,42.7,1.8
Cu,37.8,1.5
Dy,35.5,0.7
Er,38,0.9
Eu,35.6,0.8
Fe,51,2
Ga,36.9,1.5
Gd,37.3,0.9
Ge,36.1,3.8
Hf,36.7,1.2
Ho,38.3,0.8
In,38.9,2.1
Ir,0.0045,
K,62.3,2.4
La,36,0.7
Li,40.2,1.3
Lu,37,0.9
Mg,68,5.1
Mn,38.7,0.9
Mo,37.4,1.5
Na,101632.0475,2225.519288
Nb,38.9,2.1
Nd,35.5,0.7
Ni,38.8,0.2
P,46.6,6.9
Pb,38.57,0.2
Pd,1.05,0.1
Pr,37.9,1
Pt,2.51,0.1
Rb,31.4,0.4
Re,6.63,0.61
Rh,0.91,0.02
S,377,70
Sb,34.7,1.8
Sc,39.9,2.5
Se,16.3,1.9
Si,337026.13,2804.655729
Sm,37.7,0.8
Sn,38.6,1.3
Sr,78.4,0.2
Ta,37.6,1.9
Tb,37.6,1.1
Th,37.79,0.08
Ti,44,2.3
Tl,14.9,0.5
Tm,36.8,0.6
U,37.38,0.08
V,38.8,1.2
W,38,1.1
Y,38.3,1.4
Yb,39.2,0.9
Zn,39.1,1.7
Zr,37.9,1.2
F,80,89
