Name,Oxide_Name,Conversion_Factor,Preferred_Isotope,Major_Element
Ag,Ag2O,1.0742,,No
Al,Al2O3,1.8894,Al27,Yes
As,As2O3,1.3203,,No
Au,Au2O3,1.1218,,No
B,B2O3,3.22,,No
Ba,BaO,1.1165,,No
Be,BeO,2.7753,,No
Bi,Bi2O3,1.1148,,No
Br,Br,1,Br79,No
Ca,CaO,1.3992,Ca43,Yes
Cd,CdO,1.1423,,No
Ce,CeO2,1.2284,,No
Cl,Cl,1,Cl35,No
Co,CoO,1.2715,,No
Cr,Cr2O3,1.4615,Cr53,Yes
Cs,Cs2O,1.0602,,No
Cu,CuO,1.2518,,No
Dy,Dy2O3,1.1477,,No
Er,Er2O3,1.1435,,No
Eu,Eu2O3,1.1579,,No
Fe,FeO,1.2865,Fe57,Yes
Ga,Ga2O3,1.3442,,No
Gd,Gd2O3,1.1526,,No
Ge,GeO2,1.4406,,No
Hf,HfO2,1.1793,,No
Ho,Ho2O3,1.1455,,No
In,In2O3,1.209,,No
Ir,IrO2,1.1665,,No
K,K2O,1.2046,K39,Yes
La,La2O3,1.1728,,No
Li,Li2O,2.1428,,No
Lu,Lu2O3,1.1372,,No
Mg,MgO,1.6583,Mg25,Yes
Mn,MnO,1.2912,,Yes
Mo,MoO3,1.5002,Mo95,No
Na,Na2O,1.348,Na23,Yes
Nb,Nb2O5,1.4305,,No
Nd,Nd2O3,1.1664,,No
Ni,NiO,1.2726,Ni62,No
P,P2O5,2.2913,,No
Pb,PbO,1.0773,Pb206,No
Pd,PdO,1.1503,,No
Pr,Pr2O3,1.1703,,No
Pt,PtO2,1.164,,No
Rb,Rb2O,1.0936,,No
Re,Re2O7,1.3007,,No
Rh,Rh2O3,1.2332,,No
S,SO3,2.4966,S34,No
Sb,Sb2O3,1.1971,,No
Sc,Sc2O3,1.5338,,No
Se,SeO2,1.4052,,No
Si,SiO2,2.1393,Si29,Yes
Sm,Sm2O3,1.1596,,No
Sn,SnO2,1.2695,,No
Sr,SrO,1.1826,Sr88,No
Ta,Ta2O5,1.221,,No
Tb,Tb2O3,1.151,,No
Te,TeO2,1.2508,,No
Th,ThO2,1.1379,,No
Ti,TiO2,1.6685,Ti49,Yes
Tl,Tl2O3,1.1174,,No
Tm,Tm2O3,1.1421,,No
U,UO2,1.1344,,No
V,V2O5,1.7852,,No
W,WO3,1.2611,,No
Y,Y2O3,1.2699,,No
Yb,Yb2O3,1.1387,,No
Zn,ZnO,1.2446,,No
Zr,ZrO2,1.3508,,No
